NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06520475,Efficacy of Bupivacaine-magnesium Combination Versus Bupivacaine Alone in Genicular Nerve Block,https://clinicaltrials.gov/study/NCT06520475,NOT_YET_RECRUITING,Post Operative Pain,PROCEDURE: genicular nerve block using bupivacaine and magnesium|PROCEDURE: genicular nerve block using bupivacaine and normal saline,Cairo University,,INTERVENTIONAL
NCT06520462,PCT of Pharmacopuncture for Chronic Neck Pain,https://clinicaltrials.gov/study/NCT06520462,NOT_YET_RECRUITING,Neck Pain|Chronic Pain,PROCEDURE: Pharmacopuncture|PROCEDURE: Acupuncture,Jaseng Medical Foundation,,INTERVENTIONAL
NCT06520449,68Ga-NTA-476 Imaging in Prostate Cancer,https://clinicaltrials.gov/study/NCT06520449,NOT_YET_RECRUITING,Prostate Cancer,DRUG: 68Ga-NTA-476,Melbourne Theranostic Innovation Centre,3B Pharmaceuticals GmbH,INTERVENTIONAL
NCT06520436,Arthroscopic-Assisted Reduction of Hip Dislocation Via Sub-Adductor and Anterolateral Portals,https://clinicaltrials.gov/study/NCT06520436,COMPLETED,Developmental Dysplasia of the Hip,PROCEDURE: Arthroscopic-Assisted Reduction,Cairo University,,INTERVENTIONAL
NCT06520423,Effectiveness of Urethral Stent Irrigation in Preventing Surgical Site Infections in Adolescents With Hypospadias,https://clinicaltrials.gov/study/NCT06520423,NOT_YET_RECRUITING,Hypospadias,PROCEDURE: Urethral stent tube irrigation|PROCEDURE: Urinary catheter drainage,Xing Liu,,INTERVENTIONAL
NCT06520410,Safety and Efficacy of 18 mm Short Vitrectomy Probe for Pediatric Vitreoretinal Surgeries,https://clinicaltrials.gov/study/NCT06520410,RECRUITING,Retinopathy of Prematurity Both Eyes|Retinal Disease|Persistent Fetal Vasculature|Coats Disease|Coats Retinopathy|Familial Exudative Vitreoretinopathies|Vitreous Disorder|Vitreous Anomalies|Retinal Vascular Disorder,DEVICE: Pars plana vitrectomy with a 18 mm short vitrector,Chang Gung Memorial Hospital,,INTERVENTIONAL
NCT06520397,Efficacy and Safety of Dual-targeted Therapy With Upadacitinib and Ustekinumab Versus Intensified Ustekinumab Therapy in Crohn's Disease,https://clinicaltrials.gov/study/NCT06520397,NOT_YET_RECRUITING,Crohn Disease,DRUG: Ustekinumab and Upadacitinib|DRUG: Ustekinumab,"Sixth Affiliated Hospital, Sun Yat-sen University",,INTERVENTIONAL
NCT06520384,Radiofrequency Applications and Alcoholic Neurolysis of Genicular Nerve for the Treatment of Knee Osteoarthritic Pain,https://clinicaltrials.gov/study/NCT06520384,RECRUITING,Radiofrequency|Alcohol|Genicular Nerve|Knee Osteoarthritis|Pain,DEVICE: Radiofrequency|DRUG: Alcohol 30%|DRUG: Alcohol 50%|DRUG: Alcohol 70%,Tanta University,,INTERVENTIONAL
NCT06520371,Percutaneous vs Conventional Radiofrequency Applications for the Treatment of Knee Osteoarthritic Pain,https://clinicaltrials.gov/study/NCT06520371,RECRUITING,Percutaneous|Conventional|Radiofrequency|Knee Osteoarthritis|Pain,DEVICE: Percutaneous radiofrequency|DEVICE: Conventional radiofrequency,Tanta University,,INTERVENTIONAL
NCT06520358,Acute Intermittent Hypoxia to Improve Airway Protection in Chronic Traumatic Brain Injury,https://clinicaltrials.gov/study/NCT06520358,RECRUITING,Traumatic Brain Injury,OTHER: Acute Intermittent Hypoxia (AIH)|BEHAVIORAL: Task specific Airway Protection Training|OTHER: Sham AIH,University of Florida,,INTERVENTIONAL
NCT06520345,The Study of 177Lu-TLX591 Plus SOC Versus SOC Alone in Patients With mCRPC (ProstACT-GLOBAL),https://clinicaltrials.gov/study/NCT06520345,NOT_YET_RECRUITING,Metastatic Castration-resistant Prostate Cancer,DRUG: 177Lu-TLX591|DRUG: Enzalutamide|DRUG: Abiraterone|DRUG: Docetaxel,Telix Pharmaceuticals (Innovations) Pty Ltd,,INTERVENTIONAL
NCT06520332,Comparative Evaluation of the Clinical Efficacy of Short Implants With Standard-Length Implants - a Randomised Controlled Trial,https://clinicaltrials.gov/study/NCT06520332,NOT_YET_RECRUITING,Dental Implant,PROCEDURE: Dental Implant Surgery - short implant group (less than or equal to 6mm)|PROCEDURE: Dental Implant Surgery - Conventional implant group (greater than or equal to 10mm),Krishnadevaraya College of Dental Sciences & Hospital,,INTERVENTIONAL
NCT06520319,Head-to-head Study of 68Ga-MGS5 Versus 68Ga-DOTATATE PET/CT in Patients With Medullary Thyroid Carcinoma,https://clinicaltrials.gov/study/NCT06520319,RECRUITING,Medullary Thyroid Carcinoma,DRUG: 68Ga-MGS5,First Affiliated Hospital of Fujian Medical University,,INTERVENTIONAL
NCT06520306,"A Study of Ropivacaine Combined With Different Concentrations of Methylene Blue Fascia Iliaca Block in Postoperative Analgesia, Cognition, and Hip Function Recovery in Patients Undergoing Hip Arthroplasty",https://clinicaltrials.gov/study/NCT06520306,ENROLLING_BY_INVITATION,Femoral Neck Disease,DRUG: Ropivacaine combined with methylene blue for iliac fascia block,Wang wanxia,,INTERVENTIONAL
NCT06520293,Effects of a Single Oral Dose of Sweet Protein Sweelin® on Blood Glucose and Insulin Levels in Healthy Adults,https://clinicaltrials.gov/study/NCT06520293,NOT_YET_RECRUITING,Healthy Adults,OTHER: Sweet Beverage,Amai Proteins,,INTERVENTIONAL
NCT06520280,Comparative Study Between Injection Molding and Additive Manufacturing Complete Denture,https://clinicaltrials.gov/study/NCT06520280,ACTIVE_NOT_RECRUITING,Complete Denture,OTHER: polyamide and 3D printed complete denture,Ibrahim Mohamed Ali Ibrahim Abd Elrahman,,INTERVENTIONAL
NCT06520267,"Prevalence of Bacteriuria, Antibiotic Susceptibility, and Treatment Response in Symptomatic Benign Prostatic Hyperplasia",https://clinicaltrials.gov/study/NCT06520267,COMPLETED,Bacteriuria in Symptomatic Benign Prostate Hyperplasia|Antibiotic Susceptibility in Symptomatic Benign Prostate Hyperplasia|Treatment Response to Antibiotics in Symptomatic Benign Prostate Hyperplasia,DRUG: Antibiotic therapy,"Tribhuvan University Teaching Hospital, Institute Of Medicine.",,OBSERVATIONAL
NCT06520254,The Effectiveness of Massage Therapy in Patients With Shoulder Pain,https://clinicaltrials.gov/study/NCT06520254,COMPLETED,Shoulder Pain,OTHER: Massage therapy,Wroclaw University of Health and Sport Sciences,,INTERVENTIONAL
NCT06520241,"The Effect of Stress, Anxiety, and Depression Experienced by Pregnant Women on Sleep Bruxism and Oral Health",https://clinicaltrials.gov/study/NCT06520241,COMPLETED,"Sleep Bruxism, Adult|Stress|Depression|Anxiety|Pregnancy Related|Oral Disease",OTHER: Pregnant,Trakya University,,INTERVENTIONAL
NCT06520228,The Purpose of This Study is to Reveal the Influence of Active Video Games on Children's Motor Coordination,https://clinicaltrials.gov/study/NCT06520228,COMPLETED,The Study Demonstrated the Effect of Active Video Games on Motor Coordination in Children Over a 12-week Intervention,BEHAVIORAL: Active video games|BEHAVIORAL: Traditional sports games,Universiti Putra Malaysia,,INTERVENTIONAL
NCT06520215,Correlation Hand Grip Strength and Walking Distance in Elderly,https://clinicaltrials.gov/study/NCT06520215,NOT_YET_RECRUITING,Coronary Revascularization,,Universitas Padjadjaran,,OBSERVATIONAL
NCT06520202,RHPRG4 FOR THE TREATMENT OF SJÖGREN'S RELATED DRY EYE DISEASE,https://clinicaltrials.gov/study/NCT06520202,NOT_YET_RECRUITING,Sjogren's Syndrome With Dry Eye,DRUG: rhPRG4 (450 µg/mL)|DRUG: Vehicle,Lubris Bio Pty Ltd,,INTERVENTIONAL
NCT06520189,Value of F-18 FDG PET/CT for the Prediction of EGFR Mutation in Lung Cancer Patients,https://clinicaltrials.gov/study/NCT06520189,NOT_YET_RECRUITING,Lung Cancer,DEVICE: F-18 FDGPET/CT,Assiut University,,OBSERVATIONAL
NCT06520176,Comparison Study of EAP and CG Regimens for Mobilizing Hematopoietic Stem Cells in Multiple Myeloma Patients,https://clinicaltrials.gov/study/NCT06520176,RECRUITING,Multiple Myeloma|Hematopoietic Stem Cell Mobilization,DRUG: Etoposide|DRUG: Cytarabine|DRUG: Pegfilgrastim|DRUG: Cyclophosphamide|DRUG: G-CSF|DRUG: G-CSF,The Affiliated People's Hospital of Ningbo University,First Affiliated Hospital of Zhejiang University|First Affiliated Hospital of Wenzhou Medical University|Taizhou Hospital of Zhejiang Province affiliated to Wenzhou Medical University|The Central Hospital of Lishui City|Jinhua People's Hospital|Shaoxing People's Hospital|Shaoxing Second Hospital|Zhejiang Provincial Tongde Hospital|Taizhou Hospital|Dongyang People's Hospital|Affiliated Hospital of Jiaxing University|Huizhou Municipal Central Hospital|Second Affiliated Hospital of Wenzhou Medical University|Ningbo Medical Center Lihuili Hospital|Jinhua Municipal Central Hospital,INTERVENTIONAL
NCT06520163,Comparison Study of EAP and Disease-Specific Chemotherapy Regimens in Hematopoietic Stem Cell Mobilization for Lymphoma,https://clinicaltrials.gov/study/NCT06520163,RECRUITING,Non-Hodgkin's Lymphoma|Hematopoietic Stem Cell Mobilization,DRUG: Etoposide|DRUG: Cytarabine|DRUG: PEG-rhG-CSF|DRUG: G-CSF|COMBINATION_PRODUCT: CHOP|COMBINATION_PRODUCT: Hyper-CVAD|COMBINATION_PRODUCT: ID-MTX + Ara-C|COMBINATION_PRODUCT: DA-EPOCH|COMBINATION_PRODUCT: GDP|COMBINATION_PRODUCT: GDPE|COMBINATION_PRODUCT: ICE|COMBINATION_PRODUCT: DICE|DRUG: G-CSF,The Affiliated People's Hospital of Ningbo University,First Affiliated Hospital of Zhejiang University|First Affiliated Hospital of Wenzhou Medical University|Taizhou Hospital of Zhejiang Province affiliated to Wenzhou Medical University|Jinhua People's Hospital|The Central Hospital of Lishui City|Shaoxing People's Hospital|Shaoxing Second Hospital|Zhejiang Provincial Tongde Hospital|Taizhou Hospital|Dongyang People's Hospital|Affiliated Hospital of Jiaxing University|Huizhou Municipal Central Hospital|Second Affiliated Hospital of Wenzhou Medical University|Ningbo Medical Center Lihuili Hospital|Jinhua Municipal Central Hospital,INTERVENTIONAL
NCT06520150,Evaluation of the Effectiveness of Two Methods of Regional Anesthesia During S-ICD Implantation Procedure.,https://clinicaltrials.gov/study/NCT06520150,RECRUITING,"Chest Pain|Pain, Procedural|Pain, Postoperative|Analgesia|Regional Anesthesia Morbidity|Anesthesia, Local|ICD","PROCEDURE: Regional anaesthetic combined fascial plane block|DRUG: Ropivacaine 0.125% Injectable Solution +Lignocaine 0,25% Injectable Solution","4th Military Clinical Hospital with Polyclinic, Poland",,INTERVENTIONAL
NCT06520137,Third Molars Extraction and Periodontal Disease,https://clinicaltrials.gov/study/NCT06520137,RECRUITING,Periodontal Diseases,PROCEDURE: Tooth extraction,Azienda Ospedaliera Universitaria Senese,,OBSERVATIONAL
NCT06520124,Stellest Lens Wear in Adult Progressing Myopes,https://clinicaltrials.gov/study/NCT06520124,RECRUITING,"Myopia, Progressive",DEVICE: Essilor® Stellest® spectacle lens|DEVICE: Single-vision spectacle lens,University of Ulster,Essilor International,INTERVENTIONAL
NCT06520111,CRISAL Study:Cancer Risk In Secreting Adrenal Lesions,https://clinicaltrials.gov/study/NCT06520111,RECRUITING,Adrenal Tumor|Adrenal Incidentaloma|Surgery,,University of Roma La Sapienza,,OBSERVATIONAL
NCT06520098,A Randomized Phase II Study Of Bruton Tyrosine Kinase Inhibitor With Or Without Venetoclax In Veterans With Chronic Lymphocytic Leukemia (CLL)/Small Lymphocytic Lymphoma (SLL),https://clinicaltrials.gov/study/NCT06520098,NOT_YET_RECRUITING,Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma,"DRUG: Venetoclax|DRUG: Ibrutinib, Acalabrutinib, Zanubrutinib",VA Office of Research and Development,,INTERVENTIONAL
NCT06520085,Optimizing Recovery After Reverse Shoulder Arthroplasty With a Personalized Mobile Health Application,https://clinicaltrials.gov/study/NCT06520085,NOT_YET_RECRUITING,Shoulder Osteoarthritis,OTHER: interactive mHealth application for patients undergoing RSA,VieCuri Medical Centre,Anna ziekenhuis,INTERVENTIONAL
NCT06520072,Mobile Apps for Preschool Parents (MAPP) Study,https://clinicaltrials.gov/study/NCT06520072,RECRUITING,"Obesity, Childhood|Nutrition, Healthy|Physical Inactivity|Sleep, Inadequate",BEHAVIORAL: Children Eating Well (CHEW) mobile app|BEHAVIORAL: Beanstalk mobile app,Pamela Hull,United States Department of Agriculture (USDA),INTERVENTIONAL
NCT06520059,Optimal Articular Solutions With Intraosseous and Synovial Platelet-Rich Plasma,https://clinicaltrials.gov/study/NCT06520059,NOT_YET_RECRUITING,Knee Osteoarthritis,COMBINATION_PRODUCT: Platelet rich-plasma - PRP - intraosseous and intra-articular admnistration,Universidade do Porto,,INTERVENTIONAL
NCT06520046,Motor Control Prevention Strategies in Basketball Players,https://clinicaltrials.gov/study/NCT06520046,NOT_YET_RECRUITING,Ankle Sprains|Motor Disorders,OTHER: Experimental Group|OTHER: Control Group,University of Salamanca,,INTERVENTIONAL
NCT06520033,Robotics as a Useful Tool to Improve the Hydration of the Elderly,https://clinicaltrials.gov/study/NCT06520033,RECRUITING,Dehydration|Daily Fluid Intake|Urinary Infections,DEVICE: humanoid robot|OTHER: Usual care,Universitat de Lleida,"Agency for Management of University and Research Grants (Catalonia, Spain)|Hospital Universitari Santa Maria (Lleida, Spain)",INTERVENTIONAL
NCT06520020,Evaluating Safety and Feasibility of Transcutaneous Spinal Cord Stimulation Following Traumatic and Non-Traumatic Spinal Cord Injury: A Pilot Study,https://clinicaltrials.gov/study/NCT06520020,NOT_YET_RECRUITING,Spinal Cord Stimulation|Electric Stimulation Therapy|Traumatic Spinal Cord Injury|Cervical Myelopathy,DEVICE: Transcutaneous Spinal Cord Stimulation (Tc-SCS),H. Francis Farhadi,,INTERVENTIONAL
NCT06520007,Comparison Between Continuous and Pulsed Oral Doxycycline Treatment Protocols for Refractory Meibomian Gland Dysfunction,https://clinicaltrials.gov/study/NCT06520007,COMPLETED,Meibomian Gland Dysfunction|Blepharitis|Doxycycline Adverse Reaction,DRUG: Doxycyclin,University of Milan,,OBSERVATIONAL
NCT06519994,Feasibility of Intravaginal Artesunate as Adjuvant HPV & Cervical Precancer Treatment in Kenya,https://clinicaltrials.gov/study/NCT06519994,NOT_YET_RECRUITING,Human Immunodeficiency Virus|Human Papillomavirus|Cervical Precancer,DRUG: Artesunate vaginal inserts|DRUG: Placebo vaginal inserts,UNC Lineberger Comprehensive Cancer Center,"National Cancer Institute (NCI)|Kenya Medical Research Institute|Maseno University School of Medicine, Kenya",INTERVENTIONAL
NCT06519981,Phase 1 Study of HRS-9231 Safety and Pharmacokinetics in Healthy Caucasians,https://clinicaltrials.gov/study/NCT06519981,NOT_YET_RECRUITING,MRI,DRUG: HRS-9231or matching placebo,Atridia Pty Ltd.,,INTERVENTIONAL
NCT06519968,"A Study to Investigate the Safety, Tolerability, and Pharmacokinetics of Inhaled AZD4604 in Healthy Japanese and Chinese Participants.",https://clinicaltrials.gov/study/NCT06519968,RECRUITING,Healthy Participants,DRUG: AZD4604|DRUG: Placebo,AstraZeneca,Parexel,INTERVENTIONAL
NCT06519955,Can PLIA Reduce Early Post-operative Pain After PAO Surgery?,https://clinicaltrials.gov/study/NCT06519955,NOT_YET_RECRUITING,Hip Dysplasia,"COMBINATION_PRODUCT: Ropivacaine, Epinephrine, Ketorolac, NaCL",Michael C Willey,Northwestern University,INTERVENTIONAL
NCT06519942,Muscle and Bone in Patients With Diabetes Mellitus and Neuropathy,https://clinicaltrials.gov/study/NCT06519942,RECRUITING,"Diabetes Mellitus, Type 2|Diabetic Peripheral Neuropathy|Sarcopenia",DIAGNOSTIC_TEST: Blood sampling|DIAGNOSTIC_TEST: Electromyoneurography (EMNG)|PROCEDURE: Muscle biopsy|RADIATION: Quantitative peripheral computed tomography (qPCT)|DEVICE: Mechanography|DIAGNOSTIC_TEST: Electrocardiography (ECG)|OTHER: Questionnaires|OTHER: Anthropometry,"University Hospital, Ghent",University Ghent,OBSERVATIONAL
NCT06519929,Analgesic Techniques for Rib Fractures,https://clinicaltrials.gov/study/NCT06519929,NOT_YET_RECRUITING,Rib Fractures,PROCEDURE: ESP block with catheter using ropivacaine (bolus followed by continuous infusion)|DRUG: Lidocaine bolus (1 mg/kg) and infusion starting at 1 mg/kg/h,Thomas Jefferson University,,INTERVENTIONAL
NCT06519916,Mental Perfomance in Patients With Coeliac Disease,https://clinicaltrials.gov/study/NCT06519916,COMPLETED,Celiac Disease in Children|Gluten Allergy,BEHAVIORAL: Assessment of mental performance,University Children's Hospital Basel,,OBSERVATIONAL
NCT06519903,Anxiety Reduction in Type 2 Diabetes Through Breathing ExercisesPatients With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT06519903,COMPLETED,Type 2 Diabetes|Type 2 Diabetes Treated With Insulin,BEHAVIORAL: BREATH technique,Goztepe Prof Dr Suleyman Yalcın City Hospital,,INTERVENTIONAL
NCT06519890,Stanford ICU Delirium PIPRA Study,https://clinicaltrials.gov/study/NCT06519890,COMPLETED,"Delirium|Cognitive Impairment|Delirium, Postoperative",,Stanford University,,OBSERVATIONAL
NCT06519877,Fiber and Calcium Absorption in Older Men,https://clinicaltrials.gov/study/NCT06519877,NOT_YET_RECRUITING,Aging,DIETARY_SUPPLEMENT: Soluble corn fiber,San Francisco VA Health Care System,,INTERVENTIONAL
NCT06519864,Validity and Reliability of a Depth Camera-based Automated Physical Function and Fall Risk Assessments,https://clinicaltrials.gov/study/NCT06519864,COMPLETED,Fall|Healthy Aging,DIAGNOSTIC_TEST: Azure Kinect-based Tandem Stance Test (ATST) and Physical Therapist's Measurements of Tandem Stance Test (PTST)|DIAGNOSTIC_TEST: Azure Kinect-based Five Times Sit-to-Stand Test (AFTSS) and Physical Therapist's Measurements of Five Times Sit-to-Stand Test (PFTSS)|DIAGNOSTIC_TEST: Azure Kinect-based Timed Up and Go Test (ATUG) and Physical Therapist's Measurements of Timed Up and Go Test (PTUG)|DIAGNOSTIC_TEST: Short Physical Performance Battery (SPPB)|DIAGNOSTIC_TEST: Berg Balance Scale (BBS)|DIAGNOSTIC_TEST: Functional Reach Test (FRT)|DIAGNOSTIC_TEST: Four-Square Step Test (FSST)|DIAGNOSTIC_TEST: Grip Strength (GS),Sahmyook University,,INTERVENTIONAL
NCT06519851,Combined Shoulder Anterior Capsule and Suprascapular Nerve Block Versus Interscalene Block in Shoulder Surgery,https://clinicaltrials.gov/study/NCT06519851,NOT_YET_RECRUITING,Shoulder Pain,OTHER: suprascapular nerve block with 10 ml bupivacaine 0.25% & shoulder anterior capsule block with 30 ml bupivacaine 0.25%|OTHER: Interscalene block with 20 ml bupivacaine 0.25%,Assiut University,,INTERVENTIONAL
NCT06519838,Effect of Pre-Warming of Local Anesthesia in Reducing Pain Perception During Injection in Children,https://clinicaltrials.gov/study/NCT06519838,COMPLETED,Local Anesthesia|Dental Anesthesia,OTHER: Local anesthesia solution at room temperature|OTHER: Local anesthesia solution pre-warmed to 37°C|OTHER: Local anesthesia solution pre-warmed to 40°C|OTHER: Maxillary infiltration technique|OTHER: Inferior alveolar nerve block technique,Andrew Emad,,INTERVENTIONAL
NCT06519825,The Effect of Inspiratory Muscle Strength Training in Healthy Adults With Forward Head Posture,https://clinicaltrials.gov/study/NCT06519825,NOT_YET_RECRUITING,Posture,OTHER: Exercise,Nigde Omer Halisdemir University,Gazi University,INTERVENTIONAL
NCT06519812,Endoscopic Combined Intrarenal Surgery vs. Percutaneous Nephrolithotomy for Treatment of Staghorn Calculi,https://clinicaltrials.gov/study/NCT06519812,RECRUITING,Urinary Calculi,PROCEDURE: Combined Intrarenal Surgery and percutaneous nephrolithotomy,Al-Azhar University,,INTERVENTIONAL
NCT06519799,Integrated Genetic and Functional Analysis of the Influence of Menstrual Hygiene Products on Female Health,https://clinicaltrials.gov/study/NCT06519799,RECRUITING,Vaginal Disease|Menstrual Discomfort,OTHER: Menstrual hygiene products,"University Hospital, Antwerp",Universiteit Antwerpen|Research Foundation Flanders,INTERVENTIONAL
NCT06519786,Safety and Efficacy of Metformin for Treatment of Cytopenia in Children and Adolescents With Fanconi Anemia,https://clinicaltrials.gov/study/NCT06519786,RECRUITING,Fanconi Anemia,DRUG: Metformin,Ain Shams University,,INTERVENTIONAL
NCT06519773,Modified Periosteal Inhibition With Simultaneous Implant Placement in Aesthetic Zone,https://clinicaltrials.gov/study/NCT06519773,RECRUITING,Immediate Dental Implant,PROCEDURE: Modified periosteal inhibition,Tanta University,,INTERVENTIONAL
NCT06519760,68Ga-C1 PET/ CT Imaging in Clear Cell Renal Cell Carcinoma,https://clinicaltrials.gov/study/NCT06519760,RECRUITING,Carbonic Anhydrase IX|PET-CT|Clear Cell Renal Cell Carcinoma,DRUG: 68Ga-C1,Peking University First Hospital,,INTERVENTIONAL
NCT06519747,DETECTion of PeriOperative Atrial Fibrillation After Noncardiac Surgery,https://clinicaltrials.gov/study/NCT06519747,NOT_YET_RECRUITING,Atrial Fibrillation|Atrial Flutter,DEVICE: Cardiac monitoring device,Population Health Research Institute,,OBSERVATIONAL
NCT06519734,"Primitive Immunodeficiency, Intrauterine Devices and Menstrual Hygiene Products",https://clinicaltrials.gov/study/NCT06519734,NOT_YET_RECRUITING,Primary Immune Deficiency Diseases,OTHER: Questionnaire,Assistance Publique - Hôpitaux de Paris,,OBSERVATIONAL
NCT06519721,Safety and Efficacy Study of Lenvatinib Combined With VIC-1911 for the Treatment of Advanced HCC,https://clinicaltrials.gov/study/NCT06519721,RECRUITING,Hepatocellular Carcinoma,DRUG: Lenvatinib Combined with VIC-1911,RenJi Hospital,,INTERVENTIONAL
NCT06519708,Analgesic Efficacy of Erector Spinae Plane Block vs External Oblique Intercostal Plane Block in Subcostal Cancer Surgeries,https://clinicaltrials.gov/study/NCT06519708,RECRUITING,Analgesia|Erector Spinae Plane Block|External Oblique Intercostal Plane Block|Subcostal Cancer Surgeries,DRUG: Erector Spinae Plane Block|DRUG: External Oblique Intercostal Plane Block,"National Cancer Institute, Egypt",,INTERVENTIONAL
NCT06519695,Exercise Intervention for Pre-frail Elderly,https://clinicaltrials.gov/study/NCT06519695,ACTIVE_NOT_RECRUITING,Older Adults,BEHAVIORAL: Multicomponent exercises,Hangzhou Normal University,,INTERVENTIONAL
NCT06519682,"A Pilot Study Investigating Upfront Adaptive Immunotherapy Approach in Children, Adolescent and Young Adult (CAYA) Patients With Replication-Repair Deficient (RRD) High-Grade Gliomas (HGG)",https://clinicaltrials.gov/study/NCT06519682,NOT_YET_RECRUITING,High Grade Glioma|Replication Repair Deficient,DRUG: Nivolumab|RADIATION: Radiation,Daniel Morgenstern,,INTERVENTIONAL
NCT06519669,Autologous Tumor-Infiltrating Lymphocyte Injection(GT201) for Treatment of Patients With Advanced Lung Cancer,https://clinicaltrials.gov/study/NCT06519669,RECRUITING,Adult|Lung Cancer,BIOLOGICAL: GT201 injection,Grit Biotechnology,,INTERVENTIONAL
NCT06519656,Efficacy of Mazdutide for Treating PCOS,https://clinicaltrials.gov/study/NCT06519656,RECRUITING,Polycystic Ovary Syndrome,DRUG: Mazdutide,Shanghai Zhongshan Hospital,,INTERVENTIONAL
NCT06519643,Building Your Successful Nursing Career,https://clinicaltrials.gov/study/NCT06519643,NOT_YET_RECRUITING,Nurse's Role|Gender|Professional Burnout,BEHAVIORAL: career planning application,Chang Gung Memorial Hospital,Chang Gung University,INTERVENTIONAL
NCT06519630,REHABOTICS: Integrated Rehabilitation System for People With Motor Disabilities,https://clinicaltrials.gov/study/NCT06519630,COMPLETED,"Stroke|Spasticity, Muscle|Upper Extremity Dysfunction",DEVICE: Rehabotics Physiotherapy|OTHER: Traditional Physiotherapy,Pantelis Syringas,"University of Ioannina|Physioloft, Physiotherapy Center|University of Peloponnese|Ostracon Ltd",INTERVENTIONAL
NCT06519617,Study on Optimization and Evaluation of Integrated Chinese and Western Medicine for pSS Glandular Damage,https://clinicaltrials.gov/study/NCT06519617,ENROLLING_BY_INVITATION,Primary Sjögren Syndrome,DRUG: Yi Qi Yang Yin Decoction|DRUG: Hydroxychloroquine Sulfate,Qingwen Tao,,INTERVENTIONAL
NCT06519604,"Open, Randomized Crossover Study on PK, PD, Biopotency, and Bioavailability of Insulin Capsules in Healthy Chinese Males",https://clinicaltrials.gov/study/NCT06519604,NOT_YET_RECRUITING,Diabete Mellitus,DRUG: Human insulin enteric coated capsules in dose 16mg|DRUG: Human insulin enteric coated capsules in dose 8mg|DRUG: Human Insulin Injection in dose 5IU,Shanghai Jiao Tong University School of Medicine,,INTERVENTIONAL
NCT06519591,"Systemic Application of Cadonilimab, LM-302, and S-1 Combined With Intraperitoneal Infusion of Paclitaxel for the Treatment of Claudin 18.2-positive Gastric Cancer With Peritoneal Metastasis",https://clinicaltrials.gov/study/NCT06519591,RECRUITING,Gastric Cancer Stage IV|Peritoneal Metastases,"DRUG: Cadonilimab, LM-302, S-1, paclitaxel",Ruijin Hospital,,INTERVENTIONAL
NCT06519578,Prospective Real-World Study of HAIC With Raltitrexed or 5-Fluorouracil for the Treatment of Hepatocellular Carcinoma,https://clinicaltrials.gov/study/NCT06519578,RECRUITING,Hepatocellular Carcinoma,DRUG: hepatic artery infusion chemotherapy,RenJi Hospital,,INTERVENTIONAL
NCT06519565,Safety and Efficacy of PRG-1801 in Recurrent/Refractory Immune Thrombocytopenia (ITP),https://clinicaltrials.gov/study/NCT06519565,NOT_YET_RECRUITING,Immune Thrombocytopenia,DRUG: PRG-1801,"Wuhan Union Hospital, China","Shenzhen Pregene Biopharma Co., Ltd.",INTERVENTIONAL
NCT06519552,"A Clinical Study Evaluating the Safety, Tolerability, and Initial Efficacy of JWK008 in Patients With Mucopolysaccharidosis Type I",https://clinicaltrials.gov/study/NCT06519552,RECRUITING,Mucopolysaccharidosis Type I,GENETIC: JWK008 Single intravenous infusion administration,West China Hospital,,INTERVENTIONAL
NCT06519539,Implementing Strategies for Eating Behaviour Modification Based on Portion Control,https://clinicaltrials.gov/study/NCT06519539,ACTIVE_NOT_RECRUITING,"Lifestyle, Healthy|Weight Management|Behavior Change",BEHAVIORAL: PORTIONS-4 behaviour change strategies,"Clinica Universidad de Navarra, Universidad de Navarra",,OBSERVATIONAL
NCT06519526,Exploratory Clinical Study of SHR-0302 and SHR-2554 in Patients With Relapsed/Refractory Peripheral T Cell Lymphoma,https://clinicaltrials.gov/study/NCT06519526,NOT_YET_RECRUITING,Relapsed/Refractory Peripheral T Cell Lymphoma,DRUG: SHR-0302|DRUG: SHR-2554,Fudan University,,INTERVENTIONAL
NCT06519513,"Laughter Yoga, Stress Level and Burnout Level",https://clinicaltrials.gov/study/NCT06519513,NOT_YET_RECRUITING,"Burnout, Psychological|Stress|Laughter",OTHER: Laughter yoga,Kırklareli University,,INTERVENTIONAL
NCT06519500,Generation of Organoids of Neuroendocrine Neoplasms of the Gastro-Entero-Pancreatic Tract Obtained From Patients Undergoing Surgery,https://clinicaltrials.gov/study/NCT06519500,RECRUITING,Gastro-entero-pancreatic Neoplasms,,Regina Elena Cancer Institute,,OBSERVATIONAL
NCT06519487,Social Experiences and Demographic Factors in the Regulation of Immune Cells,https://clinicaltrials.gov/study/NCT06519487,NOT_YET_RECRUITING,Perceived Discrimination|RNA|Inflammatory Response,BEHAVIORAL: Cyberball,Morgan State University,"Texas Christian University|University of Maryland, Baltimore|University of Baltimore",INTERVENTIONAL
NCT06519474,Effect of Elastic Chest Compression on Functional Exercise Capacity and Respiratory Performance in Patients With COPD,https://clinicaltrials.gov/study/NCT06519474,RECRUITING,COPD|Hyperinflation,DEVICE: Theraband chest compression,National Taiwan University Hospital,,INTERVENTIONAL
